序号,件号,名称,中文材料,英文材料,装配处,页数,图纸,任务分配,发动机类型,,级别,,部件,,零件类型,,,零件图纸号,文件夹名称,页号,版本号,文件名称,产品序号,新编号,条形码
1,6B0.401 ~ 447等33个件号,密封圈,,,,5,A4,,,,,,,,,,,,,,,,,,
2,6B1.183,双头螺栓,,,,1,A4,,,,,,,,,,,,,,,,,,
3,6B1.192 ~ 202等8个件号,十二角头螺栓,,,,1,A3,,,,,,,,,,,,,,,,,,
4,6B1.212,带孔十二角头螺栓,,,,1,A4,,,,,,,,,,,,,,,,,,
5,6B2.160,六角头螺钉,,,,1,A4,,,,,,,,,,,,,,,,,,
6,6B2.170,内六花圆头螺钉,,,,1,A4,,,,,,,,,,,,,,,,,,
7,6B4.280,十二角自锁螺母,,,,2,A4,,,,,,,,,,,,,,,,,,
8,6B4.282,十二角自锁螺母,,,,1,A4,,,,,,,,,,,,,,,,,,
9,61.011 ,输出齿轮轴,,,,1,A1,庞科技,,,,,,,,,,,,,,,,,
10,61.012 ,N2调速主动齿轮,,,,1,A3,庞科技,,,,,,,,,,,,,,,,,
11,61.013 ,输出齿轮轴堵盖,,,,1,A4,庞科技,,,,,,,,,,,,,,,,,
12,61.021 ,中间齿轮轴,,,,1,A1,庞科技,,,,,,,,,,,,,,,,,
13,61.022 ,中间大齿轮,,,,1,A2,庞科技,,,,,,,,,,,,,,,,,
14,61.031 ,扭矩计密封盖,,,,1,A1,庞科技,,,,,,,,,,,,,,,,,
15,61.041 ,石墨环,,,,1,A4,庞科技,,,,,,,,,,,,,,,,,
16,61.042 ,石墨环座,,,,1,A4,庞科技,,,,,,,,,,,,,,,,,
17,61.101 ,输出轴磁密封静环,,,,1,A4,庞科技,,,,,,,,,,,,,,,,,
18,61.301 ,输入齿轮轴,,,,1,A1,庞科技,,,,,,,,,,,,,,,,,
19,61.302 ,六槽圆螺母,,,,1,A4,庞科技,,,,,,,,,,,,,,,,,
20,61.303 ,六槽圆螺母,,,,1,A4,庞科技,,,,,,,,,,,,,,,,,
21,61.305 ,三角形压板,,,,1,A4,庞科技,,,,,,,,,,,,,,,,,
22,61.306 ,N2调速被动齿轮,,,,1,A2,庞科技,,,,,,,,,,,,,,,,,
23,61.307 ,N2调速中间齿轮,,,,1,A2,庞科技,,,,,,,,,,,,,,,,,
24,61.308 ,轴承外环压板,,,,1,A4,庞科技,,,,,,,,,,,,,,,,,
25,61.309 ,花键法兰盘,,,,1,A2,庞科技,,,,,,,,,,,,,,,,,
26,61.310 ,六槽圆螺母,,,,1,A4,庞科技,,,,,,,,,,,,,,,,,
27,61.311 ,输出齿轮轴磁密封支持机匣,,,,1,A2,庞科技,,,,,,,,,,,,,,,,,
28,61.312 ,调整垫,,,,1,A3,庞科技,,,,,,,,,,,,,,,,,
29,61.313 ,间隔套,,,,1,A4,庞科技,,,,,,,,,,,,,,,,,
30,61.314 ,扭矩计活塞,,,,1,A2,庞科技,,,,,,,,,,,,,,,,,
31,61.315 ,四槽圆螺母,,,,1,A4,庞科技,,,,,,,,,,,,,,,,,
32,61.316 ,中间齿轮堵盖,,,,1,A4,庞科技,,,,,,,,,,,,,,,,,
33,61.317 ,N1转接座,,,,1,A3,庞科技,,,,,,,,,,,,,,,,,
34,61.318 ,N2转接座,,,,1,A3,庞科技,,,,,,,,,,,,,,,,,
35,61.319 ,联轴套齿,,,,1,A3,庞科技,,,,,,,,,,,,,,,,,
36,61.320 ,钢丝挡圈,,,,1,A4,庞科技,,,,,,,,,,,,,,,,,
37,61.321 ,挡圈,,,,1,A4,庞科技,,,,,,,,,,,,,,,,,
38,61.322 ,卡圈,,,,1,A4,庞科技,,,,,,,,,,,,,,,,,
39,61.323 ,台阶密封垫,,,,1,A4,庞科技,,,,,,,,,,,,,,,,,
40,61.324 ,垫圈,,,,1,A4,庞科技,,,,,,,,,,,,,,,,,
41,61.325 ,六角头螺栓,,,,1,A4,庞科技,,,,,,,,,,,,,,,,,
42,61.801 ,输出齿轮轴组件,,,,1,A3,庞科技,,,,,,,,,,,,,,,,,
43,61.802 ,双级中间齿轮组件,,,,1,A3,庞科技,,,,,,,,,,,,,,,,,
44,61.803 ,扭矩计密封盖组件,,,,1,A2,庞科技,,,,,,,,,,,,,,,,,
45,61.804 ,输出轴磁密封动环组件,,,,1,A4,庞科技,,,,,,,,,,,,,,,,,
46,61.805 ,消泡器,,,,1,A3,庞科技,,,,,,,,,,,,,,,,,
47,61.810 ,输出轴磁密封装置,,,,1,A4,庞科技,,,,,,,,,,,,,,,,,
48,66.011 ,N1调速齿轮,,,,1,A2,李笑,,,,,,,,,,,,,,,,,
49,66.012 ,N1调速齿轮堵盖,,,,1,A4,李笑,,,,,,,,,,,,,,,,,
50,66.021 ,双极中间齿轮,,,,1,A2,李笑,,,,,,,,,,,,,,,,,
51,66.022 ,双极中间小齿轮,,,,1,A3,李笑,,,,,,,,,,,,,,,,,
52,66.031 ,滑油泵齿轮,,,,1,A2,李笑,,,,,,,,,,,,,,,,,
53,66.032 ,滑油泵齿轮堵盖,,,,1,A4,李笑,,,,,,,,,,,,,,,,,
54,66.041 ,起动机齿轮,,,,1,A2,李笑,,,,,,,,,,,,,,,,,
55,66.042 ,起动机齿轮堵盖,,,,1,A4,李笑,,,,,,,,,,,,,,,,,
56,66.051 ,石墨环,,,,1,A4,李笑,,,,,,,,,,,,,,,,,
57,66.052 ,石墨环座,,,,1,A4,李笑,,,,,,,,,,,,,,,,,
58,66.061 ,石墨环,,,,1,A4,李笑,,,,,,,,,,,,,,,,,
59,66.062 ,石墨环座,,,,1,A4,李笑,,,,,,,,,,,,,,,,,
60,66.101 ,通气齿轮轴磁密封静环,,,,1,A4,李笑,,,,,,,,,,,,,,,,,
61,66.201 ,起动齿轮轴磁密封静环,,,,1,A4,李笑,,,,,,,,,,,,,,,,,
62,66.301 ,四槽圆螺母,,,,1,A4,李笑,,,,,,,,,,,,,,,,,
63,66.302 ,圆形压板,,,,1,A4,李笑,,,,,,,,,,,,,,,,,
64,66.303 ,通气齿轮轴,,,,1,A1,李笑,,,,,,,,,,,,,,,,,
65,66.304 ,附件驱动链齿轮,,,,1,A2,李笑,,,,,,,,,,,,,,,,,
66,66.305 ,油气分离器,,,,1,A2,李笑,,,,,,,,,,,,,,,,,
67,66.306 ,挡油环,,,,1,A4,李笑,,,,,,,,,,,,,,,,,
68,66.307 ,支持机匣堵盖,,,,1,A3,李笑,,,,,,,,,,,,,,,,,
69,66.308 ,通气齿轮轴磁密封支持机匣,,,,1,A1,李笑,,,,,,,,,,,,,,,,,
70,66.309 ,起动中间齿轮,,,,1,A3,李笑,,,,,,,,,,,,,,,,,
71,66.310 ,端面6槽圆螺母,,,,1,A4,李笑,,,,,,,,,,,,,,,,,
